food items,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K
Ghee,14,8.82,0,0,39.2,0.28,0,0,0,0,0,428.4,0,0,0,0.392,1.204,1.204
Cream,3.298,33.95,21.34,2.522,0,101.85,27.16,3.298,95.06,4.85,63.05,0,1455,0.2328,0.485,107.67,0.097,0.388
Light Cream,1.8,6.6,4.2,0.78,0,19.8,25.2,1.8,26.1,1.5,17.4,0,465,0.156,0.12,27.6,0.03,0.12
Clotted Cream,1.17,19.2,13.2,1.32,0,75,18,1.17,0,0,0,0,918,0.309,0.03,26.4,0.03,0.03
Sour Cream,1.184,6.4,4.16,0.832,0,19.2,8.96,1.184,25.28,2.24,17.6,0.48,426.56,0.0576,0.16,25.92,0.032,0.096
Cow Ghee,14,8.82,0,0,39.2,0.28,0,0,0,0,0,428.4,0,0,0,0.392,1.204,1.204
Buffalo Ghee,0,14,6.58,0,0,25.76,0,0,0,0,0,0,419.86,0.462,1.232,0.98,0.014,0.014
Desi Ghee,0,14,7.14,0,0,27.3,0,0,0,0,0,0,442.26,0.42,1.204,0.98,0.014,0.014
Goat Ghee,0,14,8.96,0,0,35,0,0,0,0,0,0,0,0.028,0,0,0.0042,0
Flavored ghee,0,15,99.9,0,0,37.5,3,0,0,0,0,0,0,0.03,0,0,0.0045,0
Pure Ghee,0,14,8.82,0,0,35,0,0,0,0,0,0,0,0.028,0,0,0.0042,0
PlainYogurt,4.32,3.96,2.52,4.2,0,15.6,43.2,3.84,169.2,14.4,109.2,0,58.8,0.24,1.08,145.2,0.12,0.48
Greek Yogurt,3.74,5.83,3.85,9.9,0,11,57.2,3.85,155.1,16.5,121,0,24.2,0.11,0.66,146.3,0.22,0.66
Salted Butter,0.014,11.354,7.196,0.126,0,30.1,99.96,0.014,3.36,0.28,3.36,0,349.86,0.322,0.98,3.36,0,0
Unsalted Butter,0.015,12.165,7.71,0.135,0,32.25,107.1,0.015,3.6,0.3,3.6,0,374.85,0.345,1.05,3.6,0,0
Whipped Butter,0.014,11.354,7.196,0.126,0,30.1,99.96,0.014,3.36,0.28,3.36,0,349.86,0.322,0.98,3.36,0,0
Veg Grilled Sandwich,63,14,3.5,14,5.25,0,682.5,3.5,385,78.75,227.5,21,700,297.5,4.375,3.5,5.25,8.75
Masala Toast Sandwich,48.75,12.5,3.75,11.25,5,18.75,800,5,262.5,62.5,212.5,12.5,562.5,250,3.75,3.75,5,7.5
Cheese Sandwich,37.5,22.5,11.25,15,2.5,75,850,3.75,212.5,37.5,250,6.25,500,412.5,2.5,2.5,2.5,1.25
Paneer Sandwich,56,29.75,15.75,22.75,5.25,131.25,1225,7,315,78.75,437.5,14,875,385,7,7,8.75,3.5
Egg Sandwich,48.125,15.75,6.125,19.25,1.925,374.5,728,3.85,206.5,21,278.25,0,859.25,218.75,2.275,1.4,2.1,36.75
Peanut Butter and Jelly Sandwich,56.125,19.375,3.25,11.25,2.625,0,522.5,31.25,258.75,63.75,230,0,95,76.25,1.875,1.75,11.375,0.625
Chicken Sandwich,47.775,12.425,3.15,31.5,1.925,64.75,1104.25,8.05,388.5,40.25,420,2.45,273,141.75,2.8,1.925,2.275,5.775
Club Sandwich,93.825,32.175,8.325,40.5,4.275,121.5,2263.5,13.725,510.75,65.25,675,4.275,1012.5,369,4.95,3.6,3.15,33.525
Coleslaw Sandwich,27.65,9.625,1.4,8.75,2.45,0,407.75,5.6,283.5,28,148.75,79.625,1771,122.5,1.925,0.7,1.225,25.55
Veggie Delight Sandwich,70,9.625,2.625,15.75,6.125,0,875,6.125,402.5,105,332.5,17.5,1400,262.5,3.15,3.85,3.5,14
Aloo Toast Sandwich,43.75,15,4.375,17.5,5,12.5,812.5,5,562.5,87.5,375,31.25,1125,18.75,2.5,3.75,4.375,7.5
Corn and Cheese,43.75,21,8.75,17.5,3.5,43.75,1312.5,3.5,315,52.5,350,8.75,1750,17.5,2.625,3.15,7,0.875
Cucumber and Tomato Sandwich,35,5,1.25,7.5,3.125,0,750,3.75,375,25,200,10,1250,250,1.5,1.875,1.875,12.5
Jam Sandwich,68.75,4.375,0.625,6.25,1.25,0,375,37.5,62.5,18.75,187.5,37.5,62.5,25,1.25,1.5,1.25,0.625
Potato and Cheese Sandwich,61.25,26.25,10.5,17.5,3.5,52.5,1032.5,5.25,490,61.25,332.5,17.5,875,700,2.8,1.225,1.05,0
Bread Butter Sandwich,38.25,19.875,8.125,9.75,1.875,33.75,775,4.125,166.25,31.25,205,0,102.5,121.25,1.875,1.375,1.75,0.5
White Bread,14.85,0.81,0.15,2.43,0.45,0,162.9,1.59,15.96,6.6,42.6,0,0.3,12.9,0.99,0.24,0.15,0.09
Wheat Bread,15.675,1.056,0.165,2.937,1.617,0,136.29,1.221,66.66,13.53,59.73,0,0.33,11.55,0.825,0.429,0.132,0.231
Whole Grain Bread,14.916,1.386,0.198,3.102,2.112,0,128.04,1.386,102.63,19.14,73.92,0,0.33,22.11,1.089,0.759,0.264,0.726
Rye Breads,16.665,0.957,0.165,2.805,1.815,0,145.53,1.617,61.38,13.53,60.72,0,0.33,10.56,0.891,0.429,0.198,1.089
Brown Bread,15.147,1.386,0.198,3.036,2.046,0,111.54,1.518,96.69,17.49,75.24,0,0.33,17.49,1.056,0.726,0.165,0.495
Sprouted Grain Bread,14.685,1.155,0.165,3.003,2.046,0,128.04,1.221,113.19,23.1,79.86,0,0.33,15.84,0.825,0.495,0.264,0.891
Multigrain Bread,14.19,1.056,0.165,2.97,2.31,0,151.8,1.32,84.15,26.4,57.75,0,0,22.11,0.825,0.726,0.198,0.891
Paav Bread,28.6,1.98,0.33,4.4,1.1,0,291.5,1.1,63.25,13.75,57.75,0,0,33.55,1.375,0.66,0.165,0.715
Bun Bread,29.37,2.42,0.385,5.225,0.99,0,246.95,1.76,55,13.75,70.4,0,0,57.75,1.815,0.77,0.275,0
Brown Rices,19.975,0.765,0.17,2.21,1.53,0,0.85,0.7225,36.55,37.4,93.5,0,0,8.5,0.68,0.9265,0.1445,1.36
Basmati Rices,79,0.8,0.2,7.3,1.3,0,1,0.12,35,24,79,0,0,5,1.08,0.99,0.08,0.4
Baby Corn,2.9,0.15,0,0.75,0.8,0,2.5,1.25,105.5,10.5,8.5,2.75,43.5,4.5,0.25,0.1,0.05,0.25
Wild Rices,21.3,0.4,0.1,4,1.8,0,7,0.35,427,44,306,0,0,10,1.44,2.03,1.29,1.9
Sweet Corns,27.55,1.45,0.29,4.35,2.9,0,21.75,4.669,391.5,53.65,129.05,9.86,275.5,2.9,0.754,0.3915,0.0435,0.435
Rolled Oatss,66,7,1,17,10,0,0,1.07,429,138,180,0,0,54,4.72,1.29,0.45,0
Quick Oatss,67,6.5,1,13,10,0,5,0.77,355,110,180,0,0,54,4.72,1.29,0.45,0
Instant Oatss,67,6.9,1.2,12,10,0,202,0.76,259,32,89,0,0,11,1.31,0.27,0.11,0
Steel-cut Oatss,68,7,1,14,10,0,0,0.99,350,138,180,0,0,54,4.72,1.29,0.45,0
Oat Groatss,68,6.5,1,13,10,0,2,1.55,429,139,410,0,0,52,4.72,1.29,0.03,0
Whole Barleys,73.5,2.3,0.4,9.9,17.3,0,12,0.8,452,158,295,0,0,33,3.6,2.2,0.6,1.6
Barley Flakess,121.275,3.795,0.825,16.995,25.74,0,4.95,1.32,462,57.75,179.85,0,0,13.2,4.125,2.475,0,2.475
Barley Gritss,76,1.3,0.3,8.2,15,0,3,0.8,280,35,109,0,0,8,2.5,1.5,0,1.5
Whole Ryes,38.155,0.96,0.14,4.86,7.8,0,3,0.55,167,60.5,175,0.25,0,17,0.9,0.85,0.25,1.35
Whole Grain Wheat,71.2,2.5,0.4,11.8,10.7,0,2,0.9,405,138,318,0,0,34,3.9,2.8,1.1,1.9
